Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"11,584.10","11,584.10","11,584.10","11,504.95",-11.15,-0.1,"7,641.50","48,698.30","12,430.50","7,511.10",6.13,1.05
DRREDDY,"5,000.00","5,496.95","4,950.25","5,306.00",478.75,9.92,219.87,"11,578.52","5,496.95","2,495.05",93.39,17.38
CIPLA,780,819.3,776.15,804.9,53.4,7.11,355.27,"2,842.40",819.3,355.3,75.49,5.24
ADANIPORTS,348.7,359.8,347.1,359.1,13,3.76,49.63,176.43,428.85,203,-1.98,0.46
BHARTIARTL,483,497.65,475.3,496.85,17.85,3.73,548.02,"2,692.13",612,325.5,48.05,-5.6
M&M,640,659.4,634.55,654.95,18.15,2.85,135.18,880.21,659.4,245.4,24.28,5.19
GRASIM,727.95,748.65,724.65,744.5,19.8,2.73,32.16,237.01,836.9,385.05,5.89,11.6
TECHM,793,808.8,808.8,807.9,20.95,2.66,62.81,504.12,845.9,471.4,12.72,13.3
NTPC,89.05,91.1,88.7,90.9,2.25,2.54,447.58,402.96,125.4,73.2,-25.8,-4.37
SUNPHARMA,517.45,535,515,523.85,11.85,2.31,256.85,"1,352.23",564.75,312,25.68,-0.41
HINDALCO,177.45,182.2,176.55,179.4,3.55,2.02,285.29,512.19,221.2,84.9,-9.39,-8.47
WIPRO,314,319,312.25,317.25,5.55,1.78,184.88,584.83,319,159.4,29.86,12.22
POWERGRID,169.1,173,167.3,170.95,2.65,1.57,133.81,228.7,211,122.15,-15.39,-3.83
HEROMOTOCO,"3,080.00","3,121.85","3,075.10","3,109.00",48,1.57,13.63,422.79,"3,181.35","1,475.00",20.69,6.32
ONGC,73.8,74.8,72.95,74.25,1.1,1.5,256.92,190.02,149.65,50,-41.54,-7.94
ASIANPAINT,"2,026.30","2,044.35","2,015.00","2,037.85",29.9,1.49,30.21,613.06,"2,069.95","1,431.20",31.67,8.74
UPL,530.9,540,529.05,538.25,7.7,1.45,38.68,207.09,617.75,240.15,-3.37,7.62
GAIL,91,93.45,90.8,91.9,1.15,1.27,218.97,202.07,148.75,65,-31.9,-5.21
INFRATEL,198,200.75,195.3,198.3,1.9,0.97,77.56,153.38,296.5,120.05,-21.78,-1.12
ULTRACEMCO,"3,983.90","4,019.40","3,950.00","4,007.05",38.1,0.96,4.4,175.92,"4,754.10","2,910.00",2.67,-3.88
BAJAJ-AUTO,"3,023.10","3,070.00","2,996.00","3,038.90",19.7,0.65,9.37,283.53,"3,315.15","1,788.65",9.43,-2.12
AXISBANK,444.55,449.3,436.05,445.55,2.65,0.6,208.1,924.26,765.85,286,-31.28,-0.06
ITC,179.55,179.85,177,179.5,0.9,0.5,297.83,531.6,266.3,134.6,-24.97,-9.59
JSWSTEEL,285.3,293.55,284.45,288.1,1.25,0.44,99.11,286.43,296.75,132.5,30.13,3.95
EICHERMOT,"2,160.00","2,203.80","2,135.20","2,153.25",7.8,0.36,13.1,284.02,"2,387.25","1,245.01",-86.57,-89.94
NESTLEIND,"16,250.00","16,250.00","15,925.00","16,160.00",38.65,0.24,1.97,316.81,"18,369.95","12,200.00",25.57,-2.38
HCLTECH,808.3,824,804,810,1.7,0.21,88.48,720.82,825.1,375.25,-23.47,13.37
RELIANCE,"2,314.25","2,319.45","2,276.55","2,303.60",4.85,0.21,152.64,"3,518.51","2,369.35",866.98,91.06,8.73
TATAMOTORS,148.7,150.5,146.25,147.75,0.1,0.07,462.72,688.06,201.7,63.5,21.36,17.64
BAJFINANCE,"3,491.40","3,503.80","3,429.00","3,470.65",-1.3,-0.04,37.69,"1,306.20","4,923.40","1,783.00",1.66,1.48
